paper_id,llm_score
odjMSBSWRt,0.9739560485559633
QEHrmQPBdd,1.0
aWXnKanInf,0.2941773478876495
XmProj9cPs,0.9611397019903529
eHehzSDUFp,0.32811363267554583
wM2sfVgMDH,0.5707980242325812
v593OaNePQ,0.8438651200806646
Iyrtb9EJBp,0.14341419882733114
NN6QHwgRrQ,0.2545847870158348
is4nCVkSFA,0.5276311719925821
r5IXBlTCGc,0.8316643991220649
BPgK5XW1Nb,0.5545259681298684
RWJX5F5I9g,1.0
or8mMhmyRV,0.3946387078519676
Mfnh1Sqdwf,0.0
tyEyYT267x,0.8830489532424546
xoXn62FzD0,0.66750973243421
wg1PCg3CUP,0.5704597060348688
SPS6HzVzyt,0.0
FSjIrOm1vz,0.17570492622593376
4FWAwZtd2n,0.8698139946825103
uHLgDEgiS5,1.0
WJaUkwci9o,0.5123666413820411
HD6bWcj87Y,0.5047643574968019
hyfe5q5TD0,0.4883281039302441
rwqShzb9li,0.0
FBkpCyujtS,0.20736226975100547
zBbZ2vdLzH,0.8648508565920321
Pujt3ADZgI,0.4807290310219679
CxXGvKRDnL,0.15891577553833997
JDm7oIcx4Y,0.26874119595289375
NGKQoaqLpo,0.3145300735359734
rpwGUtTeA5,0.6710962061431325
1qP3lsatCR,0.9649988574160255
L14sqcrUC3,0.7535794006579959
gcouwCx7dG,0.003950098062612151
xsELpEPn4A,0.13671738923236237
8UFG9D8xeU,0.6085286437246362
cfKZ5VrhXt,0.0
o1Et3MogPw,0.0
A6Y7AqlzLW,0.861916514726895
m9wG6ai2Xk,0.9838982091064135
XgH1wfHSX8,0.6063868614400705
10JOlFIPjt,0.0
FxNNiUgtfa,0.2900478607756417
pQsllTesiE,0.1618772302513874
hwnObmOTrV,0.20104477510336355
VCbqXtS5YY,0.896320375077736
uuriavczkL,0.08102122609648243
SuH5SdOXpe,0.33028259311888847
kam84eEmub,0.0
PGhiPGBf47,1.0
WcZLG8XxhD,0.39970713381074957
pHOH8FVrTp,1.0
DC8bsa9bzY,0.9168901891589956
8bjspmAMBk,0.0
msEr27EejF,1.0
04qx93Viwj,0.0
h0ZfDIrj7T,0.279219568941896
6NNA0MxhCH,0.3767727829392317
TId1SHe8JG,0.95851952983521
IqHeDe2lbl,0.6320930397751037
LBl7Hez0fF,0.2840979689127356
MGKDBuyv4p,0.34984660155482
szRmEM8Kx5,0.11580740217060964
THqWPzL00e,0.24161417386189243
k3gCieTXeY,0.02986121233278527
SyVPiehSbg,0.3034029677225516
friHAl5ofG,0.3705929685368861
Tv36j85SqR,0.281061139700395
cnKhHxN3xj,0.29091549148141677
4ub9gpx9xw,1.0
IF0Q9KY3p2,0.4827352272502862
MKEHCx25xp,0.6866583308381604
ywFOSIT9ik,1.0
ikkvC1UnnE,0.17348940105695382
yfW1x7uBS5,0.5315689973425521
xGs7Ch3Vyo,0.1389114603050467
wFD16gwpze,1.0
INyi7qUdjZ,0.3402490889986107
IuU0wcO0mo,0.3085757411354435
vQhn4wrQ6j,0.48123378383900833
1jcnvghayD,0.9269946142868826
E48QvQppIN,0.3077409459558965
SRpq5OBpED,0.0
bhK7U37VW8,0.25485246939148337
PwxYoMvmvy,1.0
ONfWFluZBI,0.5171388928227154
